Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
2643,17,1300,11,478,97450.0,0.0,65,221
493,17,1300,11,478,6500.0,0.0,65,221
2598,17,1690,7,478,60000.0,0.0,65,221
493,17,1690,7,478,6500.0,0.0,65,221
2643,17,549,7,478,97450.0,0.0,65,221
493,17,549,0,478,6500.0,0.0,65,221
2957,20,1092,0,494,31000.0,3150.0,65,221
2593,17,946,0,521,0.0,5625.0,65,221
1672,17,946,0,521,97450.0,5625.0,65,221
1657,17,946,0,521,45000.0,5250.0,65,221
2986,17,946,0,521,39500.0,4425.0,65,221
2149,2,1418,2,540,5500.0,0.0,65,221
2986,17,171,7,583,62500.0,5625.0,65,221
1657,17,171,7,583,45000.0,5250.0,65,221
1672,17,171,7,583,97450.0,5625.0,65,221
404,7,1343,2,583,3000.0,0.0,65,221
3166,17,785,2,697,6000.0,0.0,65,221
1507,11,378,2,719,1200.0,0.0,7,58
1579,17,30,2,735,45000.0,0.0,7,63
1582,17,398,6,735,15200.0,0.0,7,64
1579,17,36,0,735,45000.0,0.0,7,62
2871,17,36,0,735,29500.0,0.0,7,27
2753,17,916,0,735,97450.0,5625.0,65,221
3164,17,785,2,744,1500.0,0.0,65,221
1473,17,382,0,612,3500.0,0.0,65,221
1477,17,1832,0,795,14000.0,0.0,7,116
1558,17,451,0,821,2500.0,0.0,65,221
2149,2,451,0,821,7500.0,0.0,65,221
538,2,237,7,822,6500.0,0.0,65,221
1855,17,872,7,826,0.0,0.0,65,221
2149,2,460,7,832,18500.0,1275.0,65,221
3131,17,734,2,832,21000.0,1650.0,65,221
3193,17,734,2,832,7500.0,0.0,65,221
1672,17,87,7,626,97450.0,5625.0,65,221
3071,17,87,7,626,97450.0,5625.0,65,221
1660,17,87,7,626,70000.0,5625.0,65,221
2501,17,106,7,626,32800.0,3420.0,65,221
2149,2,1419,2,650,7500.0,0.0,65,221
2149,2,1419,2,650,6500.0,0.0,65,221
1654,17,780,2,657,1500.0,0.0,65,221
2288,17,780,2,657,0.0,0.0,65,221
1176,17,472,2,665,20000.0,1500.0,65,221
2425,6,1419,2,672,7180.0,0.0,65,221
371,7,1419,2,679,2000.0,0.0,65,221
371,7,1419,2,679,1500.0,0.0,65,221
2844,7,1419,2,679,700.0,0.0,65,221
